BaseName,URL
BWI,https://www.facebook.com/pg/BWIPassengerTerminal/photos/?tab=album&album_id=2845637768861420&ref=page_internal
Dover,https://www.facebook.com/pg/DoverPaxTerminal/photos/?tab=album&album_id=2622686847785834&ref=page_internal
Fairchild,https://www.facebook.com/pg/FairchildPaxTerminal/photos/?tab=album&album_id=1161821437349256&ref=page_internal
Jacksonville,https://www.facebook.com/pg/Jacksonvillepassengerterminal/photos/?tab=album&album_id=941984382536883&ref=page_internal
Andrews,https://www.facebook.com/pg/AndrewsPassengerTerminal/photos/?tab=album&album_id=538626192852691&ref=page_internal
Charleston,https://www.facebook.com/pg/jbchspaxterminal/photos/?tab=album&album_id=2308370036149538&ref=page_internal
McChord,https://www.facebook.com/pg/mcchordpt/photos/?tab=album&album_id=2743273702430371&ref=page_internal
McGuire,https://www.facebook.com/pg/JBMDLPaxTerm/photos/?tab=album&album_id=339793779411237&ref=page_internal
Little Rock,https://www.facebook.com/pg/Little-Rock-Passenger-Terminal-173212306112777/photos/?tab=album&album_id=799649213469080&ref=page_internal
MacDill,https://www.facebook.com/pg/MacDillPassengerTerminal/photos/?tab=album&album_id=2774346125991225
McConnell,https://www.facebook.com/pg/McConnellPassengerTerminal/photos/?tab=album&album_id=1527400880637903&ref=page_internal
Norfolk,https://www.facebook.com/pg/NorfolkPassengerTerminal/photos/?tab=album&album_id=2860866543973244&ref=page_internal
Pope,https://www.facebook.com/pg/popepassengerterminal/photos/?tab=album&album_id=3383757758319777&ref=page_internal
Scott,https://www.facebook.com/pg/Scott-Passenger-Terminal-302813853094915/photos/?tab=album&album_id=2018401761536107&ref=page_internal
SeaTac,https://www.facebook.com/pg/SeaTacAmcPassengerTerminal/photos/?tab=album&album_id=1982216798469330&ref=page_internal
Travis,https://www.facebook.com/pg/travispassengerterminal/photos/?tab=album&album_id=2729399110473947&ref=page_internal
Hickam,https://www.facebook.com/pg/HickamAMC/photos/?tab=album&album_id=2674629899273069&ref=page_internal
Elmendorf,https://www.facebook.com/pg/Joint-Base-ElmendorfRichardson-Passenger-Terminal-204965679537720/photos/?tab=album&album_id=3033133543387572&ref=page_internal